2026-02-20 16:37:05,346 | INFO | TrainResultPage | Selecting result date: Sat, 28
2026-02-20 16:37:05,347 | INFO | TrainResultPage | Getting elements from ('xpath', "//div[@aria-label='Available dates']/button")
2026-02-20 16:37:10,740 | INFO | TrainResultPage | Result date found: Sat, 28
Few Seats
2026-02-20 16:37:12,423 | INFO | TrainResultPage | Applying filters
2026-02-20 16:37:29,026 | INFO | TrainResultPage | Clicking Best Available filter
2026-02-20 16:37:29,026 | INFO | TrainResultPage | Clicking element: ('xpath', "//p[text()='Best Available']")
2026-02-20 16:37:31,292 | INFO | TrainResultPage | Clicking AC Only filter
2026-02-20 16:37:31,330 | INFO | TrainResultPage | Clicking element: ('xpath', "//p[text()='AC Only']")
2026-02-20 16:37:33,630 | INFO | TrainResultPage | Scrolling to train results section
2026-02-20 16:37:33,631 | INFO | TrainResultPage | Scrolling ('id', 'train-card-list')
2026-02-20 16:37:33,632 | INFO | TrainResultPage | Scrolling until element visible: ('id', 'train-card-list')
2026-02-20 16:37:34,729 | INFO | TrainResultPage | Selecting train: Netaji
2026-02-20 16:37:34,730 | INFO | TrainResultPage | Getting elements from ('css selector', '#train-card-list>div')
2026-02-20 16:37:36,095 | INFO | TrainResultPage | Selecting coach: 3A
2026-02-20 16:37:36,096 | INFO | TrainResultPage | Getting elements from ('css selector', '#tg-available-row>div')
2026-02-20 16:37:37,497 | INFO | TrainResultPage | Selecting quota: General
2026-02-20 16:37:37,498 | INFO | TrainResultPage | Getting elements from ('css selector', "button[role='tab']")
2026-02-20 16:37:37,684 | INFO | TrainResultPage | Quota found: General
2026-02-20 16:37:38,798 | INFO | TrainResultPage | Searching quota date containing: 28
2026-02-20 16:37:38,798 | INFO | TrainResultPage | Getting elements from ('css selector', "div[role='tabpanel']>div")
2026-02-20 16:37:38,950 | INFO | TrainResultPage | Clicking Book button
2026-02-20 16:37:38,950 | INFO | TrainResultPage | Clicking element: ('tag name', 'button')
2026-02-20 16:37:41,291 | INFO | TrainResultPage | Closing login page
2026-02-20 16:37:41,292 | INFO | TrainResultPage | Clicking element: ('css selector', "div[role='dialog']>div svg[data-testid='CloseIcon']")
